iter	Passed	Remaining
0	186	186276
1	212	105814
2	255	84910
3	296	73898
4	338	67270
5	386	63947
6	458	65044
7	497	61712
8	541	59592
9	598	59242
10	673	60528
11	725	59716
12	818	62132
13	855	60258
14	897	58949
15	971	59719
16	1023	59174
17	1084	59179
18	1142	59003
19	1217	59646
20	1285	59914
21	1360	60490
22	1428	60683
23	1481	60227
24	1530	59674
25	1597	59836
26	1668	60138
27	1712	59454
28	1764	59084
29	1826	59054
30	1868	58403
31	1946	58893
32	1993	58423
33	2051	58274
34	2110	58188
35	2179	58354
36	2240	58308
37	2296	58146
38	2345	57797
39	2414	57938
40	2489	58229
41	2551	58209
42	2607	58030
43	2659	57780
44	2727	57882
45	2785	57762
46	2837	57527
47	2887	57267
48	2925	56769
49	2965	56348
50	3013	56079
51	3071	55998
52	3134	55999
53	3179	55702
54	3220	55336
55	3269	55118
56	3322	54963
57	3365	54661
58	3416	54498
59	3462	54247
60	3518	54168
61	3570	54019
62	3619	53833
63	3684	53887
64	3737	53756
65	3790	53644
66	3845	53553
67	3903	53500
68	3958	53415
69	4023	53450
70	4076	53342
71	4130	53233
72	4187	53178
73	4235	53002
74	4284	52840
75	4334	52700
76	4393	52670
77	4445	52553
78	4493	52386
79	4549	52324
80	4602	52216
81	4659	52162
82	4727	52231
83	4779	52124
84	4837	52078
85	4895	52025
86	4956	52017
87	5012	51951
88	5073	51934
89	5119	51761
90	5171	51654
91	5223	51550
92	5291	51604
93	5357	51637
94	5416	51601
95	5459	51414
96	5525	51441
97	5577	51333
98	5634	51282
99	5681	51136
100	5716	50885
101	5778	50873
102	5818	50671
103	5864	50524
104	5916	50428
105	5976	50407
106	6025	50291
107	6076	50191
108	6129	50108
109	6254	50605
110	6309	50531
111	6372	50523
112	6423	50423
113	6482	50380
114	6541	50338
115	6604	50327
116	6641	50125
117	6694	50040
118	6740	49904
119	6799	49861
120	6848	49750
121	6902	49676
122	6966	49672
123	7028	49651
124	7087	49612
125	7152	49613
